CCSDS_OMM_VERS,COMMENT,CREATION_DATE,ORIGINATOR,OBJECT_NAME,OBJECT_ID,CENTER_NAME,REF_FRAME,TIME_SYSTEM,MEAN_ELEMENT_THEORY,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,RCS_SIZE,COUNTRY_CODE,LAUNCH_DATE,SITE,DECAY_DATE,FILE,GP_ID,TLE_LINE0,TLE_LINE1,TLE_LINE2,NORAD_KEY,JCAT,DeepCat,Satcat,Piece,Active,Type,Name,LDate,Parent,Owner,State,SDate,ExpandedStatus,DDate,ODate,Period,Perigee,PF,Apogee,AF,Inc,IF,OpOrbit,SATCAT_KEY
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T14:46:56,18 SPCS,DIRECTV 12,2009-075A,EARTH,TEME,UTC,SGP4,2026-05-06T10:56:30.245568,1.00271314,4.21e-05,0.0109,65.6539,11.0881,208.9908,0,U,36131,999,4613,0.00000000000000,-0.00000096,0.0000000000000,42164.864,1436.104,35788.504,35784.954,PAYLOAD,LARGE,US,2009-12-29,TTMTR,,5177348,322296516,0 DIRECTV 12,1 36131U 09075A   26126.45590562 -.00000096  00000-0  00000+0 0  9993,2 36131   0.0109  65.6539 0000421  11.0881 208.9908  1.00271314 46135,36131,S36131,-,36131,2009-075A,P,P,T12,2009 Dec 29,S36587,DTVT,US,2009 Dec 29 0932,In Earth orbit,-,2026 May  5 ,    1436.092 ,   35784, ,   35788, ,  0.01 , ,GEO/S,36131
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T14:46:56,18 SPCS,DIRECTV 14,2014-078B,EARTH,TEME,UTC,SGP4,2026-05-06T11:23:05.053920,1.00271535,4.24e-05,0.0124,307.0701,192.8666,155.9399,0,U,40333,999,4162,0.00000000000000,-0.00000118,0.0000000000000,42164.802,1436.1,35788.455,35784.879,PAYLOAD,LARGE,US,2014-12-06,FRGUI,,5177155,322297288,0 DIRECTV 14,1 40333U 14078B   26126.47436405 -.00000118  00000-0  00000+0 0  9993,2 40333   0.0124 307.0701 0000424 192.8666 155.9399  1.00271535 41626,40333,S40333,-,40333,2014-078B,P,P,T14,2014 Dec  6,S40334,DTVT,US,2014 Dec  6 2107,In Earth orbit,-,2026 May  4 ,    1436.110 ,   35784, ,   35789, ,  0.02 , ,GEO/S,40333
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T14:46:56,18 SPCS,ECHOSTAR 14,2010-010A,EARTH,TEME,UTC,SGP4,2026-05-06T10:57:38.637216,1.00271772,0.0001916,0.014,273.2904,131.3021,225.2462,0,U,36499,999,4613,0.00000000000000,0.00000008,0.0000000000000,42164.736,1436.097,35794.679,35778.522,PAYLOAD,LARGE,US,2010-03-20,TTMTR,,5177102,322296586,0 ECHOSTAR 14,1 36499U 10010A   26126.45669719  .00000008  00000-0  00000+0 0  9994,2 36499   0.0140 273.2904 0001916 131.3021 225.2462  1.00271772 46137,36499,S36499,-,36499,2010-010A,P,P,Echostar XIV,2010 Mar 20,S36500,DISHE,US,2010 Mar 21 0336,In Earth orbit,-,2026 May  4 ,    1436.091 ,   35778, ,   35794, ,  0.01 , ,GEO/S,36499
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T15:06:46,18 SPCS,DIRECTV 8,2005-019A,EARTH,TEME,UTC,SGP4,2026-05-06T12:45:18.747936,1.00272579,0.0003495,0.015,270.5186,144.4037,241.7611,0,U,28659,999,7665,0.00000000000000,0.00000009,0.0000000000000,42164.509,1436.086,35801.111,35771.638,PAYLOAD,LARGE,US,2005-05-22,TTMTR,,5177732,322310901,0 DIRECTV 8,1 28659U 05019A   26126.53146699  .00000009  00000-0  00000+0 0  9993,2 28659   0.0150 270.5186 0003495 144.4037 241.7611  1.00272579 76650,28659,S28659,-,28659,2005-019A,P,P,T8,2005 May 22,S28660,DTVT,US,2005 May 23 0314,In Earth orbit,-,2026 May  5 ,    1436.090 ,   35771, ,   35801, ,  0.01 , ,GEO/S,28659
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T14:46:56,18 SPCS,SES 1,2010-016A,EARTH,TEME,UTC,SGP4,2026-05-06T12:37:15.347712,1.00272135,0.0002874,0.0157,347.4797,64.5264,260.7058,0,U,36516,999,5861,0.00000000000000,-0.00000107,0.0000000000000,42164.634,1436.092,35798.617,35774.381,PAYLOAD,LARGE,SES,2010-04-24,TTMTR,,5177102,322296089,0 SES 1,1 36516U 10016A   26126.52587208 -.00000107  00000-0  00000+0 0  9991,2 36516   0.0157 347.4797 0002874  64.5264 260.7058  1.00272135 58614,36516,S36516,-,36516,2010-016A,P,P,SES-1,2010 Apr 24,S36517,SESSAP,US,2010 Apr 24 2017,In Earth orbit,-,2026 May  5 ,    1436.090 ,   35774, ,   35798, ,  0.01 , ,GEO/S,36516
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T14:46:56,18 SPCS,ECHOSTAR 16,2012-065A,EARTH,TEME,UTC,SGP4,2026-05-06T09:25:31.662048,1.00271843,0.0001713,0.0166,260.6779,153.4282,250.042,0,U,39008,999,4922,0.00000000000000,-0.00000274,0.0000000000000,42164.716,1436.096,35793.804,35779.358,PAYLOAD,LARGE,US,2012-11-20,TTMTR,,5177134,322296488,0 ECHOSTAR 16,1 39008U 12065A   26126.39272757 -.00000274  00000-0  00000+0 0  9996,2 39008   0.0166 260.6779 0001713 153.4282 250.0420  1.00271843 49225,39008,S39008,-,39008,2012-065A,P,P,Echostar XVI,2012 Nov 20,S39010,ECHOC,US,2012 Nov 21 0343,In Earth orbit,-,2026 May  4 ,    1436.136 ,   35779, ,   35795, ,  0.01 , ,GEO/S,39008
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T14:46:56,18 SPCS,ECHOSTAR 23,2017-014A,EARTH,TEME,UTC,SGP4,2026-05-06T10:54:22.948128,1.00271652,0.0001947,0.0179,265.4173,133.4586,239.1462,0,U,42070,999,3350,0.00000000000000,-0.00000049,0.0000000000000,42164.769,1436.099,35794.844,35778.425,PAYLOAD,LARGE,US,2017-03-16,AFETR,,5177179,322298609,0 ECHOSTAR 23,1 42070U 17014A   26126.45443227 -.00000049  00000-0  00000+0 0  9997,2 42070   0.0179 265.4173 0001947 133.4586 239.1462  1.00271652 33503,42070,S42070,-,42070,2017-014A,P,P,Echostar 23,2017 Mar 16,S42071,DISHE,US,2017 Mar 16 0634,In Earth orbit,-,2026 May  5 ,    1436.093 ,   35778, ,   35794, ,  0.02 , ,GEO/S,42070
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T14:56:52,18 SPCS,DIRECTV 11,2008-013A,EARTH,TEME,UTC,SGP4,2026-05-06T09:48:30.066048,1.00270796,2.16e-05,0.0188,48.1803,340.487,243.5506,0,U,32729,999,4517,0.00000000000000,-0.00000118,0.0000000000000,42165.009,1436.111,35787.785,35785.963,PAYLOAD,LARGE,US,2008-03-19,SEAL,,5177695,322310264,0 DIRECTV 11,1 32729U 08013A   26126.40868132 -.00000118  00000-0  00000+0 0  9994,2 32729   0.0188  48.1803 0000216 340.4870 243.5506  1.00270796 45175,32729,S32729,-,32729,2008-013A,P,P,T11,2008 Mar 19,S32730,DTVT,US,2008 Mar 19 2348,In Earth orbit,-,2026 May  5 ,    1436.085 ,   35785, ,   35787, ,  0.02 , ,GEO/S,32729
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T14:46:56,18 SPCS,SES 6,2013-026A,EARTH,TEME,UTC,SGP4,2026-05-06T11:14:13.547040,1.00272089,0.0002617,0.0201,322.6206,100.9673,288.8189,0,U,39172,999,4730,0.00000000000000,-0.00000253,0.0000000000000,42164.647,1436.093,35797.546,35775.477,PAYLOAD,LARGE,SES,2013-06-03,TTMTR,,5177138,322297535,0 SES 6,1 39172U 13026A   26126.46821235 -.00000253  00000-0  00000+0 0  9992,2 39172   0.0201 322.6206 0002617 100.9673 288.8189  1.00272089 47307,39172,S39172,-,39172,2013-026A,P,P,SES-6,2013 Jun  3,S39173,SESSAP,US,2013 Jun  4 0049,In Earth orbit,-,2026 May  5 ,    1436.086 ,   35775, ,   35797, ,  0.02 , ,GEO/S,39172
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T14:56:52,18 SPCS,ABS 6 (LMI 1),1999-053A,EARTH,TEME,UTC,SGP4,2026-05-06T13:32:20.032800,1.00271465,0.0003139,0.024,119.2274,283.3557,183.945,0,U,25924,999,9742,0.00000000000000,-0.00000112,0.0000000000000,42164.822,1436.101,35799.922,35773.451,PAYLOAD,LARGE,ABS,1999-09-26,TTMTR,,5177575,322307120,0 ABS 6 (LMI 1),1 25924U 99053A   26126.56412075 -.00000112  00000-0  00000+0 0  9999,2 25924   0.0240 119.2274 0003139 283.3557 183.9450  1.00271465 97423,25924,S25924,-,25924,1999-053A,P,P,ABS 6,1999 Sep 26,S25927,ABSHK,HK,1999 Sep 27 0508,In Earth orbit,-,2026 May  4 ,    1436.000 ,   35768, ,   35800, ,  0.02 , ,GEO/S,25924
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T14:56:52,18 SPCS,GALAXY 16,2006-023A,EARTH,TEME,UTC,SGP4,2026-05-06T12:35:26.912256,1.00271028,0.0002877,0.0247,165.1025,240.654,268.5028,0,U,29236,999,7255,0.00000000000000,-0.00000119,0.0000000000000,42164.944,1436.108,35798.94,35774.678,PAYLOAD,LARGE,US,2006-06-18,SEAL,,5177647,322309599,0 GALAXY 16,1 29236U 06023A   26126.52461704 -.00000119  00000-0  00000+0 0  9990,2 29236   0.0247 165.1025 0002877 240.6540 268.5028  1.00271028 72553,29236,S29236,-,29236,2006-023A,P,P,Galaxy 16,2006 Jun 18,S29237,SESINTU,US,2006 Jun 18 0850,In Earth orbit,-,2026 May  5 ,    1436.094 ,   35774, ,   35798, ,  0.02 , ,GEO/S,29236
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T14:46:56,18 SPCS,SES 4,2012-007A,EARTH,TEME,UTC,SGP4,2026-05-06T09:36:45.586368,1.00270681,0.000235,0.0275,41.5617,357.2545,307.6306,0,U,38087,999,5180,0.00000000000000,-0.00000161,0.0000000000000,42165.041,1436.113,35796.815,35776.998,PAYLOAD,LARGE,SES,2012-02-14,TTMTR,,5177124,322296361,0 SES 4,1 38087U 12007A   26126.40052762 -.00000161  00000-0  00000+0 0  9997,2 38087   0.0275  41.5617 0002350 357.2545 307.6306  1.00270681 51801,38087,S38087,-,38087,2012-007A,P,P,SES-4,2012 Feb 14,S38088,SESSAN,NL,2012 Feb 15 0448,In Earth orbit,-,2026 May  5 ,    1436.135 ,   35777, ,   35797, ,  0.02 , ,GEO/S,38087
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T14:46:56,18 SPCS,EUTE 117 WEST A(SATMEX 8,2013-012A,EARTH,TEME,UTC,SGP4,2026-05-06T10:52:23.139840,1.00272952,0.0002669,0.0313,38.7851,6.3595,225.4752,0,U,39122,999,4801,0.00000000000000,-0.00000005,0.0000000000000,42164.405,1436.08,35797.523,35775.016,PAYLOAD,LARGE,EUTE,2013-03-26,TTMTR,,5177137,322297023,0 EUTE 117 WEST A(SATMEX 8,1 39122U 13012A   26126.45304560 -.00000005  00000-0  00000+0 0  9993,2 39122   0.0313  38.7851 0002669   6.3595 225.4752  1.00272952 48017,39122,S39122,-,39122,2013-012A,P,P,EUTELSAT 117 WEST A,2013 Mar 26,S39123,EUTAM,MX,2013 Mar 27 0420,In Earth orbit,-,2026 May  5 ,    1436.082 ,   35775, ,   35797, ,  0.03 , ,GEO/S,39122
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T14:46:56,18 SPCS,QUETZSAT 1,2011-054A,EARTH,TEME,UTC,SGP4,2026-05-06T11:03:44.550720,1.00270936,0.000321,0.0321,55.018,12.9249,245.3207,0,U,37826,999,4945,0.00000000000000,-0.00000234,0.0000000000000,42164.97,1436.109,35800.37,35773.3,PAYLOAD,LARGE,MEX,2011-09-29,TTMTR,,5177120,322296314,0 QUETZSAT 1,1 37826U 11054A   26126.46093230 -.00000234  00000-0  00000+0 0  9990,2 37826   0.0321  55.0180 0003210  12.9249 245.3207  1.00270936 49459,37826,S37826,-,37826,2011-054A,P,P,QuetzSat-1,2011 Sep 29,S37827,QUETZ/SESE,MX,2011 Sep 30 0345,In Earth orbit,-,2026 May  5 ,    1436.103 ,   35773, ,   35800, ,  0.03 , ,GEO/S,37826
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T14:46:56,18 SPCS,SES 14,2018-012B,EARTH,TEME,UTC,SGP4,2026-05-06T11:12:13.737024,1.00268663,0.000106,0.0321,44.8706,3.7746,296.2477,0,U,43175,999,660,0.00000000000000,-0.00000271,0.0000000000000,42165.607,1436.142,35791.942,35783.003,PAYLOAD,LARGE,SES,2018-01-25,FRGUI,,5177192,322298771,0 SES 14,1 43175U 18012B   26126.46682566 -.00000271  00000-0  00000+0 0  9992,2 43175   0.0321  44.8706 0001060   3.7746 296.2477  1.00268663  6602,43175,S43175,-,43175,2018-012B,P,P,SES-14,2018 Jan 25,S43177,SESBR,BR,2018 Jan 25 2247,In Earth orbit,-,2026 May  5 ,    1436.108 ,   35781, ,   35791, ,  0.03 , ,GEO/S,43175
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T14:46:56,18 SPCS,DIRECTV 15,2015-026A,EARTH,TEME,UTC,SGP4,2026-05-06T10:56:22.758144,1.00269025,7.8e-06,0.0339,90.6689,12.3159,182.557,0,U,40663,999,4004,0.00000000000000,-0.00000094,0.0000000000000,42165.506,1436.136,35787.7,35787.042,PAYLOAD,LARGE,US,2015-05-27,FRGUI,,5177161,322297359,0 DIRECTV 15,1 40663U 15026A   26126.45581896 -.00000094  00000-0  00000+0 0  9999,2 40663   0.0339  90.6689 0000078  12.3159 182.5570  1.00269025 40041,40663,S40663,-,40663,2015-026A,P,P,T15,2015 May 27,S40666,DTVT,US,2015 May 27 2143,In Earth orbit,-,2026 May  5 ,    1436.117 ,   35786, ,   35787, ,  0.01 , ,GEO/S,40663
