CCSDS_OMM_VERS,COMMENT,CREATION_DATE,ORIGINATOR,OBJECT_NAME,OBJECT_ID,CENTER_NAME,REF_FRAME,TIME_SYSTEM,MEAN_ELEMENT_THEORY,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,RCS_SIZE,COUNTRY_CODE,LAUNCH_DATE,SITE,DECAY_DATE,FILE,GP_ID,TLE_LINE0,TLE_LINE1,TLE_LINE2,NORAD_KEY
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T14:36:32,18 SPCS,GALAXY 19,2008-045A,EARTH,TEME,UTC,SGP4,2026-05-06T10:58:07.588992,1.00271405,0.0002913,0.0009,143.0536,266.3472,242.4607,0,U,33376,999,6448,0.00000000000000,-0.00000131,0.0000000000000,42164.838,1436.102,35798.986,35774.421,PAYLOAD,LARGE,US,2008-09-24,SEAL,,5177001,322292548,0 GALAXY 19,1 33376U 08045A   26126.45703228 -.00000131  00000-0  00000+0 0  9992,2 33376   0.0009 143.0536 0002913 266.3472 242.4607  1.00271405 64487,33376
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T14:46:56,18 SPCS,ATHENA-FIDUS,2014-006B,EARTH,TEME,UTC,SGP4,2026-05-06T11:36:33.903936,1.00273451,0.0001667,0.0012,157.0353,259.8699,19.3848,0,U,39509,999,4466,0.00000000000000,0.00000162,0.0000000000000,42164.265,1436.073,35793.159,35779.101,PAYLOAD,LARGE,FRIT,2014-02-06,FRGUI,,5177141,322297113,0 ATHENA-FIDUS,1 39509U 14006B   26126.48372574  .00000162  00000-0  00000+0 0  9992,2 39509   0.0012 157.0353 0001667 259.8699  19.3848  1.00273451 44669,39509
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T14:46:56,18 SPCS,GSAT 17,2017-040B,EARTH,TEME,UTC,SGP4,2026-05-06T13:11:51.751392,1.00271294,0.0003544,0.0023,69.4146,252.4883,194.0246,0,U,42815,999,3237,0.00000000000000,-0.00000250,0.0000000000000,42164.87,1436.104,35801.678,35771.791,PAYLOAD,LARGE,IND,2017-06-28,FRGUI,,5177186,322298699,0 GSAT 17,1 42815U 17040B   26126.54990453 -.00000250  00000-0  00000+0 0  9995,2 42815   0.0023  69.4146 0003544 252.4883 194.0246  1.00271294 32372,42815
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T10:08:52,18 SPCS,ANGOSAT 2,2022-131A,EARTH,TEME,UTC,SGP4,2026-05-06T02:58:56.020800,1.00272787,0.00014616,0.0026,319.2129,157.6423,174.8739,0,U,54033,999,1305,0.00000000000000,0.00000143,0.0000000000000,42164.451,1436.083,35792.479,35780.154,PAYLOAD,LARGE,AGO,2022-10-12,TTMTR,,5176958,322279127,0 ANGOSAT 2,1 54033U 22131A   26126.12425950  .00000143  00000-0  00000-0 0  9997,2 54033   0.0026 319.2129 0001462 157.6423 174.8739  1.00272787 13055,54033
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T14:56:52,18 SPCS,DSN-3,2024-198A,EARTH,TEME,UTC,SGP4,2026-05-06T11:47:38.796000,1.0027234,5.41e-05,0.0027,315.5768,89.5086,140.2509,0,U,61733,999,550,0.00000000000000,-0.00000242,0.0000000000000,42164.576,1436.089,35788.722,35784.16,PAYLOAD,LARGE,JPN,2024-11-04,TNSTA,,5177644,322309052,0 DSN-3,1 61733U 24198A   26126.49142125 -.00000242  00000-0  00000+0 0  9997,2 61733   0.0027 315.5768 0000541  89.5086 140.2509  1.00272340  5502,61733
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T14:46:56,18 SPCS,COSMOS 2526,2018-037A,EARTH,TEME,UTC,SGP4,2026-05-06T08:36:57.110976,1.00273535,7.14e-05,0.0029,189.3214,42.265,249.9396,0,U,43432,999,2954,0.00000000000000,-0.00000336,0.0000000000000,42164.241,1436.072,35789.117,35783.096,PAYLOAD,LARGE,CIS,2018-04-18,TTMTR,,5177198,322298852,0 COSMOS 2526,1 43432U 18037A   26126.35899434 -.00000336  00000-0  00000+0 0  9999,2 43432   0.0029 189.3214 0000714  42.2650 249.9396  1.00273535 29546,43432
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T14:46:56,18 SPCS,BANGABANDHUSAT-1,2018-044A,EARTH,TEME,UTC,SGP4,2026-05-06T11:47:39.234048,1.00270625,0.0002311,0.0031,292.0305,119.9276,108.41,0,U,43463,999,2929,0.00000000000000,-0.00000355,0.0000000000000,42165.057,1436.114,35796.666,35777.178,PAYLOAD,LARGE,BGD,2018-05-11,AFETR,,5177199,322298862,0 BANGABANDHUSAT-1,1 43463U 18044A   26126.49142632 -.00000355  00000-0  00000+0 0  9998,2 43463   0.0031 292.0305 0002311 119.9276 108.4100  1.00270625 29298,43463
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T14:46:56,18 SPCS,INTELSAT 22,2012-011A,EARTH,TEME,UTC,SGP4,2026-05-06T11:08:26.485152,1.00271629,0.0001845,0.0035,108.1506,309.7621,45.6076,0,U,38098,999,677,0.00000000000000,-0.00000051,0.0000000000000,42164.776,1436.099,35794.42,35778.861,PAYLOAD,LARGE,ITSO,2012-03-25,TTMTR,,5177124,322296364,0 INTELSAT 22,1 38098U 12011A   26126.46419543 -.00000051  00000-0  00000+0 0  9992,2 38098   0.0035 108.1506 0001845 309.7621  45.6076  1.00271629  6771,38098
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T14:46:56,18 SPCS,CHINASAT 12,2012-067A,EARTH,TEME,UTC,SGP4,2026-05-06T11:50:40.051968,1.00272234,0.0003338,0.0044,48.8707,349.8998,90.7614,0,U,39017,999,4909,0.00000000000000,-0.00000199,0.0000000000000,42164.606,1436.09,35800.546,35772.397,PAYLOAD,LARGE,PRC,2012-11-27,XSC,,5177135,322296497,0 CHINASAT 12,1 39017U 12067A   26126.49351912 -.00000199  00000-0  00000+0 0  9996,2 39017   0.0044  48.8707 0003338 349.8998  90.7614  1.00272234 49091,39017
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T14:46:56,18 SPCS,YAMAL 300K,2012-061B,EARTH,TEME,UTC,SGP4,2026-05-06T12:17:50.040672,1.00273007,2.29e-05,0.005,295.307,305.7266,350.7527,0,U,38978,999,4921,0.00000000000000,0.00000079,0.0000000000000,42164.389,1436.079,35787.22,35785.289,PAYLOAD,LARGE,CIS,2012-11-02,TTMTR,,5177134,322296485,0 YAMAL 300K,1 38978U 12061B   26126.51238473  .00000079  00000-0  00000+0 0  9990,2 38978   0.0050 295.3070 0000229 305.7266 350.7527  1.00273007 49215,38978
