OBJECT_NAME,MASS_KG,PERIOD,SEMIMAJOR_AXIS,INCLINATION,RA_OF_ASC_NODE
NSS 5 (INTELSAT 803),2060.46,1452.973,42494.423,10.4813,48.1496
SIRIUS 2 (GE-1E),1762.14,1448.653,42410.143,11.9727,34.1101
EUTE W2,1793.86,1450.754,42451.133,11.6171,38.46
SKYNET 4E,1490.0,1454.127,42516.912,12.055,9.222
EUTE 16C (SESAT 1),2600.0,1455.197,42537.778,10.8393,46.2495
SKYNET 4F,1489.0,1452.361,42482.488,12.103,18.6123
EUTE 12 WEST A (AB 1),2700.0,1464.98,42728.199,7.2278,68.7938
EUTE 33A (EB 3),1552.0,1456.267,42558.62,9.6938,55.884
SESAT 2 (EXPRESS AM-22),2542.0,1449.204,42420.904,8.2239,64.3413
METEOSAT 9 (MSG 2),2054.0,1436.053,42163.863,9.3136,54.388
EUTE 8A (SINOSAT 3),2320.0,1464.402,42716.964,9.5162,48.3713
COMSATBW-1,2440.0,1436.072,42164.245,0.0696,89.6878
COMSATBW-2,2440.0,1436.087,42164.548,0.0344,111.5455
HYLAS 1,2570.0,1436.077,42164.346,5.5899,73.2864
METEOSAT 10 (MSG 3),2035.0,1436.071,42164.226,4.6216,61.1229
METEOSAT 11 (MSG 4),2043.0,1436.073,42164.271,3.1471,71.2262
