case,initial_stack_mass_kg,mother_propellant_kg,total_tug_propellant_kg,total_propellant_kg,mother_total_dv_m_s,average_tug_dv_m_s,target_names,norad_ids,mother_dvs_m_s,tug_dvs_m_s
sample_0_best_order,4075.6701187059616,1822.9065169876267,252.76360171833494,2075.6701187059616,2367.1628658824766,407.4127616250282,AMOS 5 | GALAXY 14 | SKYNET 5D | COSMOS 1540 | EUTE 1-F5 (ECS 5),37950 | 28790 | 39034 | 14783 | 19331,435.4 | 221.8 | 263.6 | 501.6 | 519.6 | 425.2,435.4 | 400.4 | 371.8 | 422.1
sample_1_best_order,4080.552432306759,1823.2996248079403,257.2528074988186,2080.552432306759,2384.2715140469504,414.5401803005077,MEASAT 3 | EUTE 7A (EUTE W3A) | RADUGA 1-4 | GALAXY 1 | OTS 2,29648 | 28187 | 25642 | 14158 | 10855,398.6 | 63.1 | 785.3 | 289.4 | 467.3 | 380.6,398.6 | 405.6 | 462.9 | 391.1
sample_2_best_order,3558.470198482832,1319.5867674005822,238.8834310822499,1558.470198482832,1938.4207250483676,385.34634773543576,EUTE 7 WEST A (AB 7) | ATS 5 | SKYNET 5C | RADUGA 31 | UFO 5 (USA 111),37816 | 4068 | 33055 | 23010 | 23589,371.8 | 18.2 | 200.0 | 778.6 | 288.0 | 281.8,371.8 | 387.4 | 384.3 | 397.9
sample_3_best_order,4001.1573892826855,1760.059497421748,241.09789186093758,2001.1573892826855,2356.9499566259688,388.81923085416037,NATO 4A | INSAT 2C | INSAT 3C | CHINASAT 6A | HIMAWARI 2 (GMS 2),21047 | 23731 | 27298 | 37150 | 12677,326.0 | 183.7 | 626.0 | 238.4 | 604.0 | 378.8,326.0 | 398.3 | 438.6 | 392.4
sample_4_best_order,3622.9869999266757,1376.7574180285696,246.22958189810606,1622.9869999266757,1894.7244558088007,397.03682242281343,TVSAT 2 | ARABSAT 1DR (TELSTAR 3A) | GALAXY 1 | WESTAR 2 | SES 7 (PROTOSTAR 2),20168 | 14234 | 14158 | 7466 | 34941,413.9 | 187.8 | 12.3 | 508.9 | 397.0 | 374.8,413.9 | 399.1 | 391.1 | 384.0
sample_5_best_order,3842.405296783822,1591.2668157377202,251.1384810461018,1842.405296783822,2162.5418690120964,404.84074784045964,ECHOSTAR 3 | DIRECTV 3 (DBS/NIMIQ 3) | INTELSAT 6B (PAS 6B) | BRAZILSAT 1 | OPS 6394 (FLTSATCOM 4),25004 | 23598 | 25585 | 15561 | 12046,428.6 | 242.0 | 52.6 | 553.8 | 508.7 | 376.8,428.6 | 397.6 | 387.3 | 405.9
sample_6_best_order,3463.7229581431475,1209.2921325238267,254.43082561932079,1463.7229581431475,1688.8133962346687,410.0685677061412,ECHOSTAR 23 | HISPASAT 30W-4 | ECHOSTAR 3 | INTELSAT 701 | UFO 5 (USA 111),42070 | 27528 | 25004 | 22871 | 23589,375.5 | 346.3 | 192.5 | 113.6 | 379.3 | 281.8,375.5 | 418.8 | 428.6 | 417.5
sample_7_best_order,3426.4898242128265,1171.726888203847,254.76293600897952,1426.4898242128265,1740.7580042224408,410.6007771802746,EUTE 172A (GE 23) | MEASAT 3 | INSAT 4A | AMC-3 (GE-3) | STTW-1,28924 | 29648 | 28911 | 24936 | 16526,390.1 | 27.8 | 94.4 | 105.4 | 775.2 | 347.9,390.1 | 398.6 | 421.3 | 432.5
sample_8_best_order,4231.877703830083,2003.9697817472452,227.907922082838,2231.877703830083,2517.690746696131,367.7811380451264,EUTE 16C (SESAT 1) | UFO 8 (USA 138) | INTELSAT 602 | RADUGA 21 | SMS 1,26243 | 25258 | 20315 | 18631 | 7298,418.5 | 237.1 | 246.8 | 513.2 | 598.5 | 503.7,418.5 | 288.5 | 397.5 | 366.7
sample_9_best_order,3514.827393654389,1270.648142283635,244.17925137075417,1514.8273936543892,1692.3259235064772,393.7627146537254,SATCOM C1 | MSAT M1 | USA 255 | SPACEWAY 2 | INTELSAT 901,20945 | 23846 | 40101 | 28903 | 26824,371.3 | 164.5 | 331.4 | 223.3 | 227.2 | 374.6,371.3 | 378.8 | 427.6 | 397.4
