CCSDS_OMM_VERS,COMMENT,CREATION_DATE,ORIGINATOR,OBJECT_NAME,OBJECT_ID,CENTER_NAME,REF_FRAME,TIME_SYSTEM,MEAN_ELEMENT_THEORY,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,RCS_SIZE,COUNTRY_CODE,LAUNCH_DATE,SITE,DECAY_DATE,FILE,GP_ID,TLE_LINE0,TLE_LINE1,TLE_LINE2,NORAD_KEY,JCAT,DeepCat,Satcat,Piece,Active,Type,Name,LDate,Parent,Owner,State,SDate,ExpandedStatus,DDate,ODate,Period,Perigee,PF,Apogee,AF,Inc,IF,OpOrbit,SATCAT_KEY,DENSITY_SCORE
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T14:56:52,18 SPCS,SOLIDARIDAD 2,1994-065A,EARTH,TEME,UTC,SGP4,2026-05-06T02:06:38.500704,0.98866683,0.0004977,12.2821,31.597,346.845,204.3762,0,U,23313,999,11492,0.0,-2.32e-06,0.0,42563.291,1456.507,36206.34,36163.972,PAYLOAD,LARGE,MEX,1994-10-08,FRGUI,,5177503,322305654,0 SOLIDARIDAD 2,1 23313U 94065A   26126.08794561 -.00000232  00000-0  00000+0 0  9990,2 23313  12.2821  31.5970 0004977 346.8450 204.3762  0.98866683114927,23313,S23313,-,23313,1994-065A,P,P,Satmex 4,1994 Oct  8,S23315,EUTAM,MX,1994 Oct  8 0129,In Earth orbit,-,2026 May  5 ,1456.503,36163, ,36206, ,12.28, ,GEO/ID,23313,1.0969708606176225
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T14:56:52,18 SPCS,INTELSAT 706,1995-023A,EARTH,TEME,UTC,SGP4,2026-05-06T13:29:26.583936,0.99055731,0.0004546,10.8775,45.2046,322.4848,223.4465,0,U,23571,999,11291,0.0,-2.42e-06,0.0,42509.119,1453.727,36150.309,36111.659,PAYLOAD,LARGE,ITSO,1995-05-17,FRGUI,,5177511,322305255,0 INTELSAT 706,1 23571U 95023A   26126.56211324 -.00000242  00000-0  00000+0 0  9996,2 23571  10.8775  45.2046 0004546 322.4848 223.4465  0.99055731112918,23571,S23571,-,23571,1995-023A,P,P,INTELSAT 706,1995 May 17,S23572,SESINTU,US,1995 May 17 0654,In Earth orbit,-,2026 May  4 ,1453.729,36111, ,36150, ,10.87, ,GEO/ID,23571,1.1031154271475445
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T14:56:52,18 SPCS,THOR 2A,1997-025A,EARTH,TEME,UTC,SGP4,2026-05-06T05:53:38.875776,0.98970743,0.0005163,11.9625,33.0058,322.9376,240.4083,0,U,24808,999,4566,0.0,-9.5e-07,0.0,42533.451,1454.975,36177.276,36133.356,PAYLOAD,LARGE,NOR,1997-05-20,AFETR,,5177539,322306670,0 THOR 2A,1 24808U 97025A   26126.24558884 -.00000095  00000-0  00000+0 0  9990,2 24808  11.9625  33.0058 0005163 322.9376 240.4083  0.98970743 45663,24808,S24808,-,24808,1997-025A,P,P,Thor II,1997 May 20,S24810,TNOR,N,1997 May 20 2354,In Earth orbit,-,2026 May  4 ,1454.966,36133, ,36176, ,11.96, ,GEO/ID,24808,1.1244082833524274
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T10:08:52,18 SPCS,ETS 8,2006-059A,EARTH,TEME,UTC,SGP4,2026-05-05T21:56:05.495136,0.99005485,0.00029529,11.4829,39.6188,324.4435,230.4838,0,U,29656,999,7061,0.0,3.5e-07,0.0,42523.5,1454.465,36157.922,36132.808,PAYLOAD,LARGE,JPN,2006-12-18,TNSTA,,5176958,322267713,0 ETS 8,1 29656U 06059A   26125.91395249  .00000035  00000-0  00000-0 0  9994,2 29656  11.4829  39.6188 0002953 324.4435 230.4838  0.99005485 70616,29656,S29656,-,29656,2006-059A,P,P,Kiku-8,2006 Dec 18,S29657,JAXA,J,2006 Dec 18 0659,In Earth orbit,-,2026 May  4 ,1454.471,36132, ,36158, ,11.48, ,GEO/ID,29656,1.1261786765547728
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T14:56:52,18 SPCS,AFRICASAT 1 (MEASAT 1),1996-002B,EARTH,TEME,UTC,SGP4,2026-05-06T10:08:53.698272,0.990617,0.000525,12.3687,29.6288,325.9939,240.7822,0,U,23765,999,11043,0.0,4.3e-07,0.0,42507.411,1453.639,36151.593,36106.96,PAYLOAD,LARGE,MALA,1996-01-12,FRGUI,,5177519,322305354,0 AFRICASAT 1 (MEASAT 1),1 23765U 96002B   26126.42284373  .00000043  00000-0  00000+0 0  9996,2 23765  12.3687  29.6288 0005250 325.9939 240.7822  0.99061700110435,23765,S23765,-,23765,1996-002B,P,P,Africasat 1,1996 Jan 12,S23767,MEAS,MY,1996 Jan 12 2336,In Earth orbit,-,2026 May  4 ,1453.65,36107, ,36151, ,12.37, ,GEO/ID,23765,1.128384968396184
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T02:32:52,18 SPCS,EXPRESS AM-11,2004-015A,EARTH,TEME,UTC,SGP4,2026-05-05T15:26:35.090880,0.99235627,0.00073186,12.9385,23.6314,299.0065,248.1526,0,U,28234,999,7999,0.0,-2.25e-06,0.0,42457.729,1451.092,36110.667,36048.521,PAYLOAD,LARGE,CIS,2004-04-26,TTMTR,,5176277,322217207,0 EXPRESS AM-11,1 28234U 04015A   26125.64346170 -.00000225  00000-0  00000-0 0  9996,2 28234  12.9385  23.6314 0007319 299.0065 248.1526  0.99235627 79994,28234,S28234,-,28234,2004-015A,P,P,Ekspress AM-11,2004 Apr 26,S28240,KS,RU,2004 Apr 27 0309,In Earth orbit,-,2026 May  4 ,1451.084,36048, ,36110, ,12.94, ,GEO/ID,28234,1.137071688623308
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T14:56:52,18 SPCS,INTELSAT 701,1993-066A,EARTH,TEME,UTC,SGP4,2026-05-06T07:06:38.592000,0.99317551,0.0004103,10.742,46.611,352.7394,205.2581,0,U,22871,999,11868,0.0,-7.5e-07,0.0,42434.378,1449.895,36073.654,36038.832,PAYLOAD,LARGE,ITSO,1993-10-22,FRGUI,,5177489,322305479,0 INTELSAT 701,1 22871U 93066A   26126.29628000 -.00000075  00000-0  00000+0 0  9990,2 22871  10.7420  46.6110 0004103 352.7394 205.2581  0.99317551118682,22871,S22871,-,22871,1993-066A,P,P,INTELSAT 701,1993 Oct 22,S22906,SESINTU,US,1993 Oct 22 0706?,In Earth orbit,-,2026 May  5 ,1449.89,36038, ,36073, ,10.74, ,GEO/ID,22871,1.145920609414853
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T02:32:52,18 SPCS,GOES 12,2001-031A,EARTH,TEME,UTC,SGP4,2026-05-05T20:31:38.633664,0.99135874,0.00080144,12.1098,37.621,306.7767,232.2001,0,U,26871,999,9034,0.0,6.2e-07,0.0,42486.206,1452.552,36142.121,36074.021,PAYLOAD,LARGE,US,2001-07-23,AFETR,,5176277,322217462,0 GOES 12,1 26871U 01031A   26125.85530826  .00000062  00000-0  00000-0 0  9990,2 26871  12.1098  37.6210 0008014 306.7767 232.2001  0.99135874 90347,26871,S26871,-,26871,2001-031A,P,P,GOES 12,2001 Jul 23,S26872,NOAA,US,2001 Jul 23 0750,In Earth orbit,-,2026 May  4 ,1452.558,36074, ,36142, ,12.11, ,GEO/ID,26871,1.1482266717950207
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T14:56:52,18 SPCS,BONUM 1,1998-068A,EARTH,TEME,UTC,SGP4,2026-05-06T09:53:00.591360,0.99035821,0.0004444,10.8047,46.7885,354.3247,218.5819,0,U,25546,999,10012,0.0,5.3e-07,0.0,42514.816,1454.019,36155.575,36117.787,PAYLOAD,LARGE,CIS,1998-11-22,AFETR,,5177566,322307508,0 BONUM 1,1 25546U 98068A   26126.41181240  .00000053  00000-0  00000+0 0  9998,2 25546  10.8047  46.7885 0004444 354.3247 218.5819  0.99035821100121,25546,S25546,-,25546,1998-068A,P,P,BONUM-1,1998 Nov 22,S25548,KS,RU,1998 Nov 23 0108,In Earth orbit,-,2026 May  4 ,1454.021,36117, ,36155, ,10.8, ,GEO/ID,25546,1.1580592461378931
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T14:56:52,18 SPCS,AMC-5 (GE-5),1998-063B,EARTH,TEME,UTC,SGP4,2026-05-06T10:00:58.917312,0.99330394,0.0004131,11.3569,40.5519,1.1841,206.7783,0,U,25516,999,10041,0.0,8.2e-07,0.0,42430.72,1449.707,36070.113,36035.057,PAYLOAD,LARGE,SES,1998-10-28,FRGUI,,5177565,322307495,0 AMC-5 (GE-5),1 25516U 98063B   26126.41734858  .00000082  00000-0  00000+0 0  9991,2 25516  11.3569  40.5519 0004131   1.1841 206.7783  0.99330394100413,25516,S25516,-,25516,1998-063B,P,P,AMC 5,1998 Oct 28,S25517,SESSAP,US,1998 Oct 28 2238,In Earth orbit,-,2026 May  4 ,1449.713,36035, ,36070, ,11.35, ,GEO/ID,25516,1.1646630541116096
