mission_days,total_delta_v_m_s
179.13949121582667,302.32797575257575
179.0623485852346,351.8731569815145
178.88187409853867,356.73771319864187
179.06468787320583,360.0483766974736
179.03319321724388,361.3765152122354
179.05328915825402,361.59337797028377
178.95298975928253,363.60374668412146
179.1043141304546,365.33044722600346
179.12441007146475,365.5473099840518
179.13580876907253,368.2080377999457
179.13346948862824,376.09248009407827
178.81919162700336,379.4918002707558
178.636377826252,382.2435168573669
178.63871711422325,390.4187365733261
178.6072224582613,391.7468750880878
178.80779239342266,390.4310823855941
178.78769612653676,390.5808209560238
178.89398224813993,390.912193174463
178.6273179265582,393.01248873191594
178.71351040511033,395.74115155302866
178.8101321739386,395.27440134496806
178.79003622862925,398.43160688502155
178.8963215361112,399.0874128904221
178.77863702543198,399.934440616315
178.86482688014925,400.4155514051839
178.88492282115942,400.6324141632323
178.69789004241412,412.65634824956334
178.67779389350147,420.3677517152238
178.84669701316665,419.7401846720695
178.8667924814635,421.0057983158977
178.7092885321194,423.2453422891661
178.87819165178456,422.6177752460118
178.71297143883757,424.0051916282146
179.72964422494624,418.2565425179528
178.88070938737854,425.1842651523691
178.84921425621596,425.6385753350121
178.86429581000965,425.73189217009656
178.8843917510198,425.9487549281449
178.86061345313436,426.6331540066467
179.88096859611832,419.98324305983476
179.90106453712846,420.2001058178831
178.6801593301033,429.6574255971755
179.0496067114999,427.47344001765373
179.0181115803373,427.9277502002967
179.91246323473626,422.86083363377713
179.9184855891906,422.8530752702836
180.12883773659036,421.4390378630963
179.02951077725572,428.92232887193126
178.87585237134027,430.50221754014433
179.91614559837754,423.62532340955295
178.83148370127537,431.38412613905746
179.94602393583898,424.19075444970747
180.04987237700573,425.9387441982372
180.06996831801587,426.15560695628557
178.85157438981864,434.5130903688174
179.9604752919831,431.0940701397939
178.66876036476162,440.5156218732471
178.6486638296367,440.7464462824435
179.94836322381022,432.36597416566667
179.777664134898,433.8101888878433
179.9168685678483,433.69411268042836
180.11743850300965,432.3783199779346
180.09734223612375,432.5280585483643
179.05866613542935,439.6843617400061
179.93696403614518,434.9597263242564
181.22098215151254,427.08316496647547
178.67109940432525,446.4887775571675
180.1197782835256,437.2216389373085
178.65100393172918,448.5972322114412
179.78000342286927,441.9854086038025
178.63960499677094,450.01898010396803
181.03396307011622,433.96611480209845
178.82007839680736,448.9340118106707
180.09968233821624,440.378844477362
179.74850876690732,443.3135471185642
179.9490760584024,442.03335225463223
179.9289797915165,442.1830908250619
180.08828313501897,441.88167820865556
179.7686039247372,444.12055847947454
181.22332143948378,435.25838468243467
