tug_dry_mass_kg,mission_days
130,287.2807935902943
131,287.3788349045768
132,287.4768762188594
133,287.57491753314184
134,287.67295884742435
135,287.77100016170687
136,287.8690414759893
137,287.9670827902719
138,288.0651241045544
139,288.1631654188369
140,288.26120673311937
141,288.3592480474019
142,288.4572893616844
143,288.55533067596684
144,288.65337199024947
145,288.751413304532
146,288.84945461881443
147,288.94749593309695
148,289.04553724737934
149,289.143578561662
150,289.2416198759445
151,289.339661190227
152,289.43770250450945
153,289.53574381879196
154,289.6337851330745
155,289.731826447357
156,289.82986776163955
157,289.927909075922
158,290.02595039020446
159,290.123991704487
160,290.2220330187695
161,290.32007433305205
162,290.41811564733456
163,290.51615696161707
164,290.6141982758995
165,290.71223959018204
166,290.81028090446455
167,290.9083222187471
168,291.00636353302957
169,291.1044048473121
170,291.2024461615946
171,291.3004874758771
172,291.3985287901596
173,291.4965701044422
174,291.59461141872464
175,291.6926527330071
176,291.79069404728966
177,291.8887353615721
178,291.9867766758547
179,292.08481799013714
180,292.1828593044197
181,292.2809006187023
182,292.37894193298473
183,292.4769832472672
184,292.57502456154964
185,292.6730658758322
186,292.7711071901148
187,292.86914850439723
188,292.9671898186797
189,293.06523113296214
190,293.1632724472447
191,293.26131376152716
192,293.35935507580973
193,293.4573963900922
194,293.55543770437475
195,293.6534790186572
196,293.7515203329398
197,293.84956164722223
198,293.9476029615048
199,294.04564427578725
200,294.1436855900697
201,294.2417269043523
202,294.33976821863473
203,294.4378095329173
204,294.53585084719975
205,294.6338921614823
206,294.7319334757648
207,294.82997479004734
208,294.9280161043298
209,295.02605741861237
210,295.1240987328948
211,295.2221400471773
212,295.32018136145984
213,295.4182226757423
214,295.51626399002487
215,295.6143053043073
216,295.7123466185899
217,295.81038793287235
218,295.9084292471549
219,296.00647056143737
220,296.10451187571994
221,296.2025531900024
222,296.30059450428496
223,296.3986358185674
224,296.49667713285
225,296.5947184471323
226,296.692759761415
227,296.79080107569746
228,296.8888423899799
229,296.9868837042625
230,297.08492501854494
231,297.1829663328275
232,297.28100764710996
233,298.40175075573796
234,298.49979207002053
235,298.597833384303
236,298.69587469858556
237,298.793916012868
238,298.8919573271505
239,298.98999864143303
240,299.08803995571554
241,299.18608126999806
242,299.28412258428057
243,299.3821638985631
244,299.4802052128456
245,299.57824652712804
246,299.6762878414106
247,299.7743291556931
248,299.87237046997564
249,299.9704117842581
250,300.0684530985406
251,300.1664944128231
252,300.2645357271056
253,300.36257704138814
254,300.46061835567065
255,300.5586596699531
256,300.6567009842356
257,300.7547422985182
258,300.8527836128007
259,300.95082492708315
260,301.0488662413657
261,301.1469075556482
262,301.2449488699306
263,301.34299018421325
264,301.44103149849576
265,301.5390728127782
266,301.6371141270608
267,301.7351554413431
268,301.83319675562564
269,301.9312380699082
