tug_isp_s,mission_days
1400,297.9615121119615
1401,297.95752483515366
1402,297.9535433270154
1403,297.94956757503655
1404,297.94559756674454
1405,297.9416332897015
1406,297.9376747315072
1407,297.9337218797957
1408,297.92977472223765
1409,297.92583324653816
1410,297.92189744043884
1411,297.91796729171614
1412,297.91404278818055
1413,297.9101239176791
1414,297.9062106680936
1415,297.90230302733846
1416,297.8984009833661
1417,297.89450452416094
1418,297.89061363774243
1419,297.886728312164
1420,297.8828485355137
1421,297.8789742959135
1422,297.87510558151877
1423,297.87124238051916
1424,297.8673846811387
1425,297.86353247163197
1426,297.85968574029096
1427,297.85584447543744
1428,297.8520086654289
1429,297.8481782986545
1430,297.8443533635367
1431,297.84053384853087
1432,297.8367197421246
1433,297.832911032838
1434,297.8291077092247
1435,297.8253097598701
1436,297.82151717339104
1437,297.8177299384384
1438,297.81394804369273
1439,297.81017147786747
1440,297.8064002297089
1441,297.8026342879928
1442,297.7988736415292
1443,296.77241648481174
1444,296.76866639540276
1445,296.76492156785946
1446,296.761181991115
1447,296.7574476541355
1448,296.7537185459149
1449,296.7499946554806
1450,296.74627597188965
1451,296.74256248422967
1452,296.7388541816183
1453,296.7351510532038
1454,296.7314530881662
1455,296.7277602757131
1456,296.7240726050842
1457,296.72039006554814
1458,296.7167126464042
1459,296.7130403369797
1460,296.7093731266333
1461,296.7057110047525
1462,296.7020539607554
1463,296.6984019840868
1464,296.6947550642226
1465,296.69111319066883
1466,296.68747635295813
1467,296.6838445406528
1468,296.6802177433457
1469,296.6765959506554
1470,296.6729791522314
1471,296.6693673377522
1472,296.6657604969223
1473,296.66215861947603
1474,296.6585616951753
1475,296.65496971381174
1476,296.65138266520376
1477,296.6478005391963
1478,296.64422332566517
1479,296.64065101451206
1480,296.63708359566635
1481,296.63352105908587
1482,296.6299633947549
1483,296.62641059268515
1484,296.6228626429173
1485,296.61931953551675
1486,296.6157812605778
1487,296.61224780822045
1488,296.60871916859367
1489,296.60519533187085
1490,296.60167628825286
1491,296.598162027968
1492,296.5946525412703
1493,296.59114781844073
1494,296.58764784978666
1495,296.58415262564085
1496,296.58066213636323
1497,296.57717637233975
1498,296.57369532398195
1499,296.5702189817274
1500,296.5667473360395
1501,296.56328037740775
1502,296.5598180963467
1503,296.55636048339704
1504,296.55290752912504
1505,296.54945922412037
1506,296.54601555900194
1507,296.54257652441026
1508,296.53914211101335
1509,296.53571230950183
1510,296.53228711059455
1511,296.5288665050317
1512,296.5254504835815
1513,296.52203903703446
1514,296.518632156208
1515,296.5152298319417
1516,296.5118320551011
1517,296.5084388165757
1518,296.50505010727977
1519,296.5016659181513
1520,296.49828624015265
1521,296.49491106427024
1522,296.4915403815137
1523,296.488174182919
1524,296.4848124595427
1525,296.4814552024675
1526,296.478102402799
1527,296.4747540516663
1528,296.471410140222
1529,296.46807065964185
1530,296.4647356011259
1531,296.4614049558968
1532,296.4580787152013
1533,296.45475687030705
1534,296.45143941250706
1535,296.4481263331169
1536,296.4448176234746
1537,296.44151327494046
1538,296.4382132788984
1539,296.43491762675535
1540,296.43162630994016
1541,296.42833931990333
1542,296.42505664811995
1543,296.42177828608567
1544,296.41850422532
1545,296.4152344573631
1546,296.41196897377813
1547,296.40870776615066
1548,296.40545082608764
1549,296.402198145218
1550,296.398949715193
1551,296.3957055276851
1552,296.39246557439003
1553,296.3892298470223
1554,296.3859983373212
1555,296.3827710370457
1556,296.3795479379759
1557,296.3763290319148
1558,296.3731143106852
1559,296.3699037661321
1560,296.36669739012154
1561,296.36349517454096
1562,296.36029711129765
1563,296.35710319232044
1564,296.3539134095606
1565,296.3507277549868
1566,296.3475462205928
1567,296.3443687983895
1568,296.34119548040997
1569,296.3380262587086
1570,296.3348611253574
1571,296.33170007245235
1572,296.3285430921078
1573,296.3253901764583
1574,296.32224131765986
1575,296.3190965078868
1576,296.31595573933623
1577,296.31281900422266
1578,296.30968629478195
1579,296.30655760326897
1580,296.30343292196085
1581,296.300312243151
1582,296.29719555915506
1583,296.29408286230716
1584,296.2909741449613
1585,296.2878693994918
1586,296.28476861829165
1587,296.28167179377215
1588,296.27857891836686
1589,296.27548998452653
1590,296.27240498472156
1591,296.26932391144055
1592,296.2662467571937
1593,296.2631735145071
1594,296.26010417592886
1595,296.25703873402426
1596,296.2539771813772
1597,296.2509195105914
1598,296.2478657142892
1599,296.2448157851103
1600,296.24176971571546
1601,296.2387274987814
1602,296.23568912700466
1603,296.23265459310096
1604,296.2296238898033
1605,296.22659700986276
1606,296.22357394604876
1607,296.22055469115037
1608,296.2175392379744
1609,296.214527579343
1610,296.2115197081009
1611,296.2085156171072
1612,296.20551529924103
1613,296.20251874739733
1614,296.1995259544914
1615,296.1965369134539
1616,296.19355161723513
1617,296.1905700588021
1618,296.1875922311393
1619,296.18461812724956
1620,296.181647740152
1621,296.17868106288336
1622,296.17571808850016
1623,296.17275881007276
1624,296.1698032206905
1625,296.1668513134599
1626,296.1639030815045
1627,296.1609585179656
1628,296.1580176160006
1629,296.15508036878373
1630,296.1521467695072
1631,296.1492168113796
1632,296.14629048762583
1633,296.1433677914887
1634,296.14044871622684
1635,296.1375332551162
1636,296.1346214014495
1637,296.1317131485347
1638,296.1288084896976
1639,296.1259074182806
1640,296.1230099276412
1641,296.12011601115444
1642,296.11722566221204
1643,296.11433887422095
1644,296.1114556406043
1645,296.10857595480184
1646,296.10569981027015
1647,296.10282720048156
1648,296.09995811892315
1649,296.0970925590992
1650,296.09423051452904
